"Author = Botao Li, Yoshihiko Nishikawa, Philipp Hoellmer, A. C. Maggs, Werner Krauth",,
Year = 2022,,
Title = Hard-disk computer simulations---a historic perspective,,
Journal reference = ,,
Url = ,,
Data source = original data provided by the authors,,
Extraction method = copy-paste,,
Label = this work,,
,,
Sampling method = ECMC,Pressure calculation method = rift formula,
N = 870,Aspect ratio = (29 : 30 \sqrt{3} / 2),Boundary condition = periodic
X unit = packing fraction,Y unit = beta P (2 sigma)^2,type = error bar
0.670,7.986735,0.000026
0.672,8.093337,0.000035
0.674,8.199758,0.000024
0.676,8.305473,0.000034
0.678,8.410175,0.000035
0.680,8.513233,0.000037
0.682,8.614020,0.000041
0.684,8.711363,0.000065
0.686,8.804295,0.000062
0.688,8.890990,0.000073
0.690,8.969476,0.000097
0.692,9.036875,0.000060
0.694,9.08915,0.00012
0.696,9.12293,0.00012
0.698,9.13490,0.00015
0.700,9.12956,0.00017
0.702,9.11236,0.00021
0.704,9.09028,0.00038
0.706,9.06621,0.00034
0.708,9.04532,0.00089
0.710,9.0272,0.0010
0.712,9.0122,0.0022
0.714,9.0158,0.0018
0.716,9.0450,0.0026
0.718,9.0818,0.0048
,,
Sampling method = ECMC,Pressure calculation method = rift formula, 
N = 870,Aspect ratio = (1 : 1),Boundary condition = periodic
X unit = packing fraction,Y unit = beta P (2 sigma)^2,type = error bar
0.670,7.986779,0.000025
0.672,8.093305,0.000035
0.674,8.199729,0.000025
0.676,8.305464,0.000046
0.678,8.410215,0.000027
0.680,8.513249,0.000037
0.682,8.613949,0.000068
0.684,8.711343,0.000068
0.686,8.804458,0.000052
0.688,8.891164,0.000034
0.690,8.969898,0.000075
0.692,9.03666,0.00011
0.694,9.089054,0.000083
0.696,9.12212,0.00016
0.698,9.13414,0.00022
0.700,9.12966,0.00015
0.702,9.11472,0.00016
0.704,9.09681,0.00035
0.706,9.08175,0.00031
0.708,9.07174,0.00036
0.710,9.06469,0.00043
0.712,9.0541,0.0013
0.714,9.0310,0.0032
0.716,9.0272,0.0049
0.718,9.0507,0.0040
,,
Sampling method = ECMC,Pressure calculation method = rift formula,
N = 72,Aspect ratio = (9 : 8 \sqrt{3} / 2),Boundary condition = periodic
X unit = packing fraction,Y unit = beta P (2 sigma)^2,type = error bar
0.650,6.895819,0.000044
0.652,6.989873,0.000059
0.654,7.084569,0.000096
0.656,7.179567,0.000062
0.658,7.27471,0.00011
0.660,7.369629,0.000089
0.662,7.464230,0.000094
0.664,7.557429,0.000085
0.666,7.648847,0.000097
0.668,7.73781,0.00014
0.670,7.82314,0.00025
0.672,7.90406,0.00022
0.674,7.97907,0.00017
0.676,8.04520,0.00030
0.678,8.10372,0.00022
0.680,8.15043,0.00028
0.682,8.18502,0.00032
0.684,8.20786,0.00052
0.686,8.21753,0.00073
0.688,8.21741,0.00054
0.690,8.20936,0.00081
0.692,8.20147,0.00096
0.694,8.19457,0.00068
0.696,8.1932,0.0010
0.698,8.19998,0.00065
0.700,8.21941,0.00099
0.702,8.25119,0.00093
0.704,8.2942,0.0010
0.706,8.34794,0.00079
0.708,8.41371,0.00045
0.710,8.48794,0.00050
0.712,8.56782,0.00059
0.714,8.65505,0.00080
0.716,8.75002,0.00041
0.718,8.84701,0.00060
0.720,8.94924,0.00052
0.722,9.05882,0.00032
0.724,9.17097,0.00055
0.726,9.28583,0.00050
0.728,9.40518,0.00048
0.730,9.52740,0.00038
0.732,9.65533,0.00041
0.734,9.78425,0.00018
0.736,9.91860,0.00027
,,
Sampling method = ECMC,Pressure calculation method = rift formula,
N = 72,Aspect ratio = (1 : \sqrt{3} / 2),Boundary condition = periodic
